synthesizer,seed,n_active,outcome_noise_probability,method,point_exact_recovery,normalized_mean_absolute_error,top_choice_accuracy,point_width,outcome_consistent,feasible,solver_success,n_candidates,n_rounds,mean_compatible_states,coverage,width,posterior_center_error,accepted_posterior_draws,accepted_posterior_states
internal_percentage,20260716,4.0,0.0,maximum_entropy_center,0.0,0.1462741346182659,0.188,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20260716,4.0,0.05,maximum_entropy_center,0.0,0.1430865898791306,0.232,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20260716,4.0,0.1,maximum_entropy_center,0.0,0.1441057646128912,0.204,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20260716,4.0,0.2,maximum_entropy_center,0.0,0.14778412395096513,0.208,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20260716,5.0,0.0,maximum_entropy_center,0.0,0.12679688971338943,0.152,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20260716,5.0,0.05,maximum_entropy_center,0.0,0.11938141610159461,0.18,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20260716,5.0,0.1,maximum_entropy_center,0.0,0.11847209612404343,0.144,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20260716,5.0,0.2,maximum_entropy_center,0.0,0.12488502178698847,0.104,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20260716,6.0,0.0,maximum_entropy_center,0.0,0.1034921690201007,0.124,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20260716,6.0,0.05,maximum_entropy_center,0.0,0.10474728179811095,0.096,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20260716,6.0,0.1,maximum_entropy_center,0.0,0.10324736362676568,0.116,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20260716,6.0,0.2,maximum_entropy_center,0.0,0.10627710464070762,0.136,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20261716,4.0,0.0,maximum_entropy_center,0.0,0.1485153827547552,0.256,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20261716,4.0,0.05,maximum_entropy_center,0.0,0.1433398261979041,0.244,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20261716,4.0,0.1,maximum_entropy_center,0.0,0.14410746124952453,0.208,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20261716,4.0,0.2,maximum_entropy_center,0.0,0.14395046878242018,0.2,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20261716,5.0,0.0,maximum_entropy_center,0.0,0.11964989099394345,0.132,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20261716,5.0,0.05,maximum_entropy_center,0.0,0.12131342277130748,0.1,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20261716,5.0,0.1,maximum_entropy_center,0.0,0.12142853481387025,0.14,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20261716,5.0,0.2,maximum_entropy_center,0.0,0.11633453707056636,0.124,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20261716,6.0,0.0,maximum_entropy_center,0.0,0.10341778168898104,0.104,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20261716,6.0,0.05,maximum_entropy_center,0.0,0.10075405256811187,0.132,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20261716,6.0,0.1,maximum_entropy_center,0.0,0.1080411424247316,0.124,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20261716,6.0,0.2,maximum_entropy_center,0.0,0.10381310147182304,0.116,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20262716,4.0,0.0,maximum_entropy_center,0.0,0.14420871209337338,0.184,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20262716,4.0,0.05,maximum_entropy_center,0.0,0.14674475111887395,0.188,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20262716,4.0,0.1,maximum_entropy_center,0.0,0.1436979601478374,0.232,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20262716,4.0,0.2,maximum_entropy_center,0.0,0.14096617109935045,0.172,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20262716,5.0,0.0,maximum_entropy_center,0.0,0.12243298360337578,0.14,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20262716,5.0,0.05,maximum_entropy_center,0.0,0.12323817862902273,0.152,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20262716,5.0,0.1,maximum_entropy_center,0.0,0.12322368309769371,0.152,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20262716,5.0,0.2,maximum_entropy_center,0.0,0.11896144098343867,0.128,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20262716,6.0,0.0,maximum_entropy_center,0.0,0.10456649781131326,0.14,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20262716,6.0,0.05,maximum_entropy_center,0.0,0.10214691318709893,0.148,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20262716,6.0,0.1,maximum_entropy_center,0.0,0.10139228203453383,0.14,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20262716,6.0,0.2,maximum_entropy_center,0.0,0.10370411098044786,0.1,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20263716,4.0,0.0,maximum_entropy_center,0.0,0.14671937442457617,0.26,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20263716,4.0,0.05,maximum_entropy_center,0.0,0.14786433694542664,0.164,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20263716,4.0,0.1,maximum_entropy_center,0.0,0.1435662234502727,0.22,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20263716,4.0,0.2,maximum_entropy_center,0.0,0.14826334304473465,0.156,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20263716,5.0,0.0,maximum_entropy_center,0.0,0.12205637756947603,0.204,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20263716,5.0,0.05,maximum_entropy_center,0.0,0.11934352419800016,0.144,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20263716,5.0,0.1,maximum_entropy_center,0.0,0.1148908933280657,0.18,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20263716,5.0,0.2,maximum_entropy_center,0.0,0.12497489700746667,0.144,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20263716,6.0,0.0,maximum_entropy_center,0.0,0.1004833558281407,0.14,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20263716,6.0,0.05,maximum_entropy_center,0.0,0.10143577547136093,0.152,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20263716,6.0,0.1,maximum_entropy_center,0.0,0.10498220326532276,0.124,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20263716,6.0,0.2,maximum_entropy_center,0.0,0.10338756988110645,0.112,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20264716,4.0,0.0,maximum_entropy_center,0.0,0.14809898779097366,0.232,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20264716,4.0,0.05,maximum_entropy_center,0.0,0.14425360647494267,0.184,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20264716,4.0,0.1,maximum_entropy_center,0.0,0.14215787698725776,0.224,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20264716,4.0,0.2,maximum_entropy_center,0.0,0.14036590726684253,0.224,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20264716,5.0,0.0,maximum_entropy_center,0.0,0.11930725390442821,0.164,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20264716,5.0,0.05,maximum_entropy_center,0.0,0.12166832119631545,0.152,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20264716,5.0,0.1,maximum_entropy_center,0.0,0.11831897534976465,0.156,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20264716,5.0,0.2,maximum_entropy_center,0.0,0.11789696269960154,0.16,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20264716,6.0,0.0,maximum_entropy_center,0.0,0.10324175687624462,0.12,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20264716,6.0,0.05,maximum_entropy_center,0.0,0.1076368460202146,0.104,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20264716,6.0,0.1,maximum_entropy_center,0.0,0.10307566994785637,0.108,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20264716,6.0,0.2,maximum_entropy_center,0.0,0.10455389295784202,0.112,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20265716,4.0,0.0,maximum_entropy_center,0.0,0.1455248810630425,0.224,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20265716,4.0,0.05,maximum_entropy_center,0.0,0.14742700302984463,0.224,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20265716,4.0,0.1,maximum_entropy_center,0.0,0.1433609860028129,0.224,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20265716,4.0,0.2,maximum_entropy_center,0.0,0.14483766501515802,0.188,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20265716,5.0,0.0,maximum_entropy_center,0.0,0.12136500806225639,0.164,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20265716,5.0,0.05,maximum_entropy_center,0.0,0.11963413587144675,0.16,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20265716,5.0,0.1,maximum_entropy_center,0.0,0.12072904831871321,0.144,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20265716,5.0,0.2,maximum_entropy_center,0.0,0.12041848485479256,0.124,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20265716,6.0,0.0,maximum_entropy_center,0.0,0.10226989470658397,0.124,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20265716,6.0,0.05,maximum_entropy_center,0.0,0.10293746030096954,0.1,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20265716,6.0,0.1,maximum_entropy_center,0.0,0.10174222420296615,0.128,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20265716,6.0,0.2,maximum_entropy_center,0.0,0.10460714153633922,0.112,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20266716,4.0,0.0,maximum_entropy_center,0.0,0.14303149627092474,0.248,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20266716,4.0,0.05,maximum_entropy_center,0.0,0.14397690377571418,0.196,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20266716,4.0,0.1,maximum_entropy_center,0.0,0.14539423068235646,0.228,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20266716,4.0,0.2,maximum_entropy_center,0.0,0.14344814290697167,0.212,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20266716,5.0,0.0,maximum_entropy_center,0.0,0.11867524217418625,0.144,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20266716,5.0,0.05,maximum_entropy_center,0.0,0.12314304359022364,0.164,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20266716,5.0,0.1,maximum_entropy_center,0.0,0.12423823694900603,0.132,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20266716,5.0,0.2,maximum_entropy_center,0.0,0.12084192215381526,0.144,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20266716,6.0,0.0,maximum_entropy_center,0.0,0.09960601055570788,0.092,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20266716,6.0,0.05,maximum_entropy_center,0.0,0.10460580444666885,0.116,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20266716,6.0,0.1,maximum_entropy_center,0.0,0.10129788819722117,0.12,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20266716,6.0,0.2,maximum_entropy_center,0.0,0.1040824399794534,0.1,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20267716,4.0,0.0,maximum_entropy_center,0.0,0.14238527014457497,0.248,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20267716,4.0,0.05,maximum_entropy_center,0.0,0.1440639001183106,0.216,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20267716,4.0,0.1,maximum_entropy_center,0.0,0.13963433113067655,0.24,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20267716,4.0,0.2,maximum_entropy_center,0.0,0.15446861893448022,0.272,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20267716,5.0,0.0,maximum_entropy_center,0.0,0.12184838830666132,0.184,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20267716,5.0,0.05,maximum_entropy_center,0.0,0.12262751372225703,0.172,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20267716,5.0,0.1,maximum_entropy_center,0.0,0.12143450949641357,0.136,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20267716,5.0,0.2,maximum_entropy_center,0.0,0.11964682584578187,0.116,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20267716,6.0,0.0,maximum_entropy_center,0.0,0.10576483083343102,0.132,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20267716,6.0,0.05,maximum_entropy_center,0.0,0.10665461472504614,0.112,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20267716,6.0,0.1,maximum_entropy_center,0.0,0.10578731067644134,0.108,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20267716,6.0,0.2,maximum_entropy_center,0.0,0.1043149772335051,0.088,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20268716,4.0,0.0,maximum_entropy_center,0.0,0.1428725664963488,0.216,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20268716,4.0,0.05,maximum_entropy_center,0.0,0.1438318924277697,0.216,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20268716,4.0,0.1,maximum_entropy_center,0.0,0.141173695858036,0.224,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20268716,4.0,0.2,maximum_entropy_center,0.0,0.14041661525953889,0.212,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20268716,5.0,0.0,maximum_entropy_center,0.0,0.11711787058807945,0.164,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20268716,5.0,0.05,maximum_entropy_center,0.0,0.11911390448877253,0.116,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20268716,5.0,0.1,maximum_entropy_center,0.0,0.12188891768245678,0.148,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20268716,5.0,0.2,maximum_entropy_center,0.0,0.11998066450494843,0.12,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20268716,6.0,0.0,maximum_entropy_center,0.0,0.1053024924390185,0.112,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20268716,6.0,0.05,maximum_entropy_center,0.0,0.10423978478918111,0.088,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20268716,6.0,0.1,maximum_entropy_center,0.0,0.10118901265488463,0.088,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20268716,6.0,0.2,maximum_entropy_center,0.0,0.1027897517140166,0.088,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20269716,4.0,0.0,maximum_entropy_center,0.0,0.14203075629819875,0.204,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20269716,4.0,0.05,maximum_entropy_center,0.0,0.14933341194227595,0.224,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20269716,4.0,0.1,maximum_entropy_center,0.0,0.14244574283669895,0.264,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20269716,4.0,0.2,maximum_entropy_center,0.0,0.1418755854901433,0.232,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20269716,5.0,0.0,maximum_entropy_center,0.0,0.11884840652597228,0.108,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20269716,5.0,0.05,maximum_entropy_center,0.0,0.12440265474621277,0.128,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20269716,5.0,0.1,maximum_entropy_center,0.0,0.12110985694849681,0.112,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20269716,5.0,0.2,maximum_entropy_center,0.0,0.11772254283768409,0.112,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20269716,6.0,0.0,maximum_entropy_center,0.0,0.10245570115686713,0.132,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20269716,6.0,0.05,maximum_entropy_center,0.0,0.10411446598123977,0.132,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20269716,6.0,0.1,maximum_entropy_center,0.0,0.10128614838297922,0.116,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20269716,6.0,0.2,maximum_entropy_center,0.0,0.10285922037059594,0.108,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20270716,4.0,0.0,maximum_entropy_center,0.0,0.1368367623854395,0.236,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20270716,4.0,0.05,maximum_entropy_center,0.0,0.14343212179821038,0.216,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20270716,4.0,0.1,maximum_entropy_center,0.0,0.1522629039148634,0.184,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20270716,4.0,0.2,maximum_entropy_center,0.0,0.14413616777351929,0.2,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20270716,5.0,0.0,maximum_entropy_center,0.0,0.12075459002071563,0.132,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20270716,5.0,0.05,maximum_entropy_center,0.0,0.1223508832603121,0.152,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20270716,5.0,0.1,maximum_entropy_center,0.0,0.11852229195503516,0.16,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20270716,5.0,0.2,maximum_entropy_center,0.0,0.11964536727414521,0.148,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20270716,6.0,0.0,maximum_entropy_center,0.0,0.10102168569103141,0.128,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20270716,6.0,0.05,maximum_entropy_center,0.0,0.10065239646983917,0.136,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20270716,6.0,0.1,maximum_entropy_center,0.0,0.10348287575541591,0.096,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20270716,6.0,0.2,maximum_entropy_center,0.0,0.10272830666729182,0.064,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20271716,4.0,0.0,maximum_entropy_center,0.0,0.1495255448318714,0.172,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20271716,4.0,0.05,maximum_entropy_center,0.0,0.13828725158077618,0.212,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20271716,4.0,0.1,maximum_entropy_center,0.0,0.14457887801924507,0.168,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20271716,4.0,0.2,maximum_entropy_center,0.0,0.14608654729936937,0.264,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20271716,5.0,0.0,maximum_entropy_center,0.0,0.12601346867251942,0.12,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20271716,5.0,0.05,maximum_entropy_center,0.0,0.11616913756928879,0.2,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20271716,5.0,0.1,maximum_entropy_center,0.0,0.117825678624022,0.14,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20271716,5.0,0.2,maximum_entropy_center,0.0,0.12178132239810822,0.108,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20271716,6.0,0.0,maximum_entropy_center,0.0,0.10632228131231548,0.104,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20271716,6.0,0.05,maximum_entropy_center,0.0,0.1011676788227836,0.124,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20271716,6.0,0.1,maximum_entropy_center,0.0,0.10043260598956794,0.12,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20271716,6.0,0.2,maximum_entropy_center,0.0,0.10180787030464425,0.092,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20272716,4.0,0.0,maximum_entropy_center,0.0,0.14290427218989693,0.204,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20272716,4.0,0.05,maximum_entropy_center,0.0,0.14363591386380195,0.184,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20272716,4.0,0.1,maximum_entropy_center,0.0,0.14480045042297673,0.264,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20272716,4.0,0.2,maximum_entropy_center,0.0,0.14948160228987678,0.16,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20272716,5.0,0.0,maximum_entropy_center,0.0,0.12195803320969098,0.156,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20272716,5.0,0.05,maximum_entropy_center,0.0,0.12099319119237223,0.164,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20272716,5.0,0.1,maximum_entropy_center,0.0,0.11781171919857014,0.1,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20272716,5.0,0.2,maximum_entropy_center,0.0,0.12362201377065095,0.152,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20272716,6.0,0.0,maximum_entropy_center,0.0,0.10459350024659199,0.1,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20272716,6.0,0.05,maximum_entropy_center,0.0,0.09980326850334581,0.128,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20272716,6.0,0.1,maximum_entropy_center,0.0,0.1044068251741017,0.1,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20272716,6.0,0.2,maximum_entropy_center,0.0,0.10173441725744409,0.128,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20273716,4.0,0.0,maximum_entropy_center,0.0,0.14506022957121695,0.204,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20273716,4.0,0.05,maximum_entropy_center,0.0,0.1394317125998295,0.212,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20273716,4.0,0.1,maximum_entropy_center,0.0,0.14684200459561575,0.196,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20273716,4.0,0.2,maximum_entropy_center,0.0,0.14378755861275486,0.18,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20273716,5.0,0.0,maximum_entropy_center,0.0,0.12171215488017378,0.116,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20273716,5.0,0.05,maximum_entropy_center,0.0,0.12027617598105582,0.136,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20273716,5.0,0.1,maximum_entropy_center,0.0,0.12317849513264399,0.144,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20273716,5.0,0.2,maximum_entropy_center,0.0,0.11799509123032315,0.128,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20273716,6.0,0.0,maximum_entropy_center,0.0,0.09699565964300905,0.148,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20273716,6.0,0.05,maximum_entropy_center,0.0,0.09960698124830233,0.092,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20273716,6.0,0.1,maximum_entropy_center,0.0,0.10015994748403793,0.1,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20273716,6.0,0.2,maximum_entropy_center,0.0,0.10042836406312576,0.144,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20274716,4.0,0.0,maximum_entropy_center,0.0,0.14512517902198746,0.216,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20274716,4.0,0.05,maximum_entropy_center,0.0,0.14921306408193213,0.208,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20274716,4.0,0.1,maximum_entropy_center,0.0,0.14646110486046574,0.212,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20274716,4.0,0.2,maximum_entropy_center,0.0,0.1402030978751143,0.212,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20274716,5.0,0.0,maximum_entropy_center,0.0,0.12109120041144386,0.12,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20274716,5.0,0.05,maximum_entropy_center,0.0,0.12364258163129947,0.12,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20274716,5.0,0.1,maximum_entropy_center,0.0,0.11946754042819127,0.144,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20274716,5.0,0.2,maximum_entropy_center,0.0,0.12260881614687559,0.14,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20274716,6.0,0.0,maximum_entropy_center,0.0,0.10444335239967964,0.112,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20274716,6.0,0.05,maximum_entropy_center,0.0,0.10418852130915135,0.144,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20274716,6.0,0.1,maximum_entropy_center,0.0,0.10307929019078639,0.14,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20274716,6.0,0.2,maximum_entropy_center,0.0,0.10326988358069063,0.144,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20275716,4.0,0.0,maximum_entropy_center,0.0,0.14516834630084852,0.244,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20275716,4.0,0.05,maximum_entropy_center,0.0,0.1480003968802471,0.292,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20275716,4.0,0.1,maximum_entropy_center,0.0,0.14726845465771263,0.232,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20275716,4.0,0.2,maximum_entropy_center,0.0,0.1416675225176903,0.224,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20275716,5.0,0.0,maximum_entropy_center,0.0,0.12187973024584234,0.148,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20275716,5.0,0.05,maximum_entropy_center,0.0,0.12298847110286602,0.164,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20275716,5.0,0.1,maximum_entropy_center,0.0,0.12151141547715613,0.128,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20275716,5.0,0.2,maximum_entropy_center,0.0,0.1211620170999652,0.168,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20275716,6.0,0.0,maximum_entropy_center,0.0,0.10260618545792906,0.132,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20275716,6.0,0.05,maximum_entropy_center,0.0,0.10354122393645797,0.112,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20275716,6.0,0.1,maximum_entropy_center,0.0,0.10141804958020531,0.112,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20275716,6.0,0.2,maximum_entropy_center,0.0,0.10270823337647117,0.116,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20276716,4.0,0.0,maximum_entropy_center,0.0,0.1409041056709553,0.224,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20276716,4.0,0.05,maximum_entropy_center,0.0,0.1470304093670705,0.228,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20276716,4.0,0.1,maximum_entropy_center,0.0,0.15243073642608604,0.192,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20276716,4.0,0.2,maximum_entropy_center,0.0,0.14599700356417553,0.236,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20276716,5.0,0.0,maximum_entropy_center,0.0,0.11966725204014694,0.132,0.0,1.0,1.0,1.0,,,,,,,,
internal_percentage,20276716,5.0,0.05,maximum_entropy_center,0.0,0.1222810275598446,0.152,0.0,1.0,1.0,1.0,,,,,,,,
